municipio;provincia;fecha;horario;temperatura_actual;probabilidad_precipitacion;temperatura_minima;temperatura_maxima;
Fonsagrada, A;Lugo;mar 13;00–12 h;;0% ;-2;12;;
Fonsagrada, A;Lugo;mar 13;12–24 h;;0% ;-2;12;;
Fonsagrada, A;Lugo;mié 14; ;;0% ;1;16;;
Fonsagrada, A;Lugo;jue 15; ;;5% ;4;15;;
Fonsagrada, A;Lugo;vie 16; ;;5% ;2;15;;
Foz;Lugo;sáb 10;18–24 h;15°C;75% ;14;17;;
Foz;Lugo;dom 11;00–06 h;14°C;100% ;10;17;;
Foz;Lugo;dom 11;06–12 h;16°C;90% ;10;17;;
Foz;Lugo;dom 11;12–18 h;14°C;65% ;10;17;;
Foz;Lugo;dom 11;18–24 h;10°C;50% ;10;17;;
Foz;Lugo;dom 11;00–12 h;;45% ;10;17;;
Foz;Lugo;lun 12;12–24 h;;20% ;8;17;;
Foz;Lugo;mar 13;00–12 h;;0% ;6;15;;
Foz;Lugo;mar 13;12–24 h;;0% ;6;15;;
Foz;Lugo;mié 14; ;;0% ;8;19;;
Foz;Lugo;jue 15; ;;5% ;11;20;;
Foz;Lugo;vie 16; ;;0% ;9;21;;
Friol;Lugo;sáb 10;18–24 h;11°C;100% ;10;13;;
Friol;Lugo;dom 11;00–06 h;11°C;100% ;5;12;;
Friol;Lugo;dom 11;06–12 h;11°C;100% ;5;12;;
Friol;Lugo;dom 11;12–18 h;9°C;80% ;5;12;;
Friol;Lugo;dom 11;18–24 h;6°C;55% ;5;12;;
Friol;Lugo;dom 11;00–12 h;;50% ;5;12;;
Friol;Lugo;lun 12;12–24 h;;20% ;4;13;;
Friol;Lugo;mar 13;00–12 h;;0% ;4;14;;
Friol;Lugo;mar 13;12–24 h;;0% ;4;14;;
Friol;Lugo;mié 14; ;;0% ;5;17;;
Friol;Lugo;jue 15; ;;10% ;7;18;;
Friol;Lugo;vie 16; ;;0% ;6;17;;
Guitiriz;Lugo;sáb 10;18–24 h;12°C;100% ;10;13;;
Guitiriz;Lugo;dom 11;00–06 h;11°C;100% ;6;13;;
Guitiriz;Lugo;dom 11;06–12 h;11°C;100% ;6;13;;
Guitiriz;Lugo;dom 11;12–18 h;10°C;85% ;6;13;;
Guitiriz;Lugo;dom 11;18–24 h;6°C;45% ;6;13;;
Guitiriz;Lugo;dom 11;00–12 h;;45% ;6;13;;
Guitiriz;Lugo;lun 12;12–24 h;;25% ;5;13;;
Guitiriz;Lugo;mar 13;00–12 h;;0% ;3;13;;
Guitiriz;Lugo;mar 13;12–24 h;;0% ;3;13;;
Guitiriz;Lugo;mié 14; ;;0% ;4;18;;
Guitiriz;Lugo;jue 15; ;;10% ;7;18;;
Guitiriz;Lugo;vie 16; ;;0% ;7;18;;
Lugo;Lugo;sáb 10;18–24 h;11°C;95% ;10;14;;
Lugo;Lugo;dom 11;00–06 h;11°C;100% ;5;13;;
Lugo;Lugo;dom 11;06–12 h;12°C;100% ;5;13;;
Lugo;Lugo;dom 11;12–18 h;10°C;90% ;5;13;;
Lugo;Lugo;dom 11;18–24 h;5°C;70% ;5;13;;
Lugo;Lugo;dom 11;00–12 h;;65% ;5;13;;
Lugo;Lugo;lun 12;12–24 h;;20% ;4;13;;
Lugo;Lugo;mar 13;00–12 h;;0% ;4;14;;
Lugo;Lugo;mar 13;12–24 h;;0% ;4;14;;
Lugo;Lugo;mié 14; ;;0% ;4;18;;
Lugo;Lugo;jue 15; ;;10% ;5;19;;
Lugo;Lugo;vie 16; ;;0% ;6;18;;
Mondoñedo;Lugo;sáb 10;18–24 h;13°C;90% ;12;15;;
Mondoñedo;Lugo;dom 11;00–06 h;13°C;100% ;8;14;;
Mondoñedo;Lugo;dom 11;06–12 h;13°C;95% ;8;14;;
Mondoñedo;Lugo;dom 11;12–18 h;12°C;75% ;8;14;;
Mondoñedo;Lugo;dom 11;18–24 h;8°C;50% ;8;14;;
Mondoñedo;Lugo;dom 11;00–12 h;;50% ;8;14;;
Mondoñedo;Lugo;lun 12;12–24 h;;20% ;6;14;;
Mondoñedo;Lugo;mar 13;00–12 h;;0% ;5;14;;
Mondoñedo;Lugo;mar 13;12–24 h;;0% ;5;14;;
Mondoñedo;Lugo;mié 14; ;;0% ;7;19;;
Mondoñedo;Lugo;jue 15; ;;5% ;11;20;;
Mondoñedo;Lugo;vie 16; ;;0% ;9;19;;
Monforte de Lemos;Lugo;sáb 10;18–24 h;12°C;80% ;11;17;;
Monforte de Lemos;Lugo;dom 11;00–06 h;12°C;100% ;8;17;;
Monforte de Lemos;Lugo;dom 11;06–12 h;15°C;100% ;8;17;;
Monforte de Lemos;Lugo;dom 11;12–18 h;11°C;95% ;8;17;;
Monforte de Lemos;Lugo;dom 11;18–24 h;8°C;95% ;8;17;;
Monforte de Lemos;Lugo;dom 11;00–12 h;;60% ;8;17;;
Monforte de Lemos;Lugo;lun 12;12–24 h;;15% ;5;15;;
Monforte de Lemos;Lugo;mar 13;00–12 h;;0% ;2;16;;
Monforte de Lemos;Lugo;mar 13;12–24 h;;0% ;2;16;;
Monforte de Lemos;Lugo;mié 14; ;;0% ;4;20;;
Monforte de Lemos;Lugo;jue 15; ;;15% ;7;20;;
Monforte de Lemos;Lugo;vie 16; ;;5% ;6;20;;
Monterroso;Lugo;sáb 10;18–24 h;11°C;95% ;10;13;;
Monterroso;Lugo;dom 11;00–06 h;11°C;100% ;5;13;;
Monterroso;Lugo;dom 11;06–12 h;12°C;100% ;5;13;;
Monterroso;Lugo;dom 11;12–18 h;9°C;90% ;5;13;;
Monterroso;Lugo;dom 11;18–24 h;5°C;70% ;5;13;;
Monterroso;Lugo;dom 11;00–12 h;;55% ;5;13;;
Monterroso;Lugo;lun 12;12–24 h;;10% ;4;13;;
Monterroso;Lugo;mar 13;00–12 h;;0% ;3;14;;
Monterroso;Lugo;mar 13;12–24 h;;0% ;3;14;;
Monterroso;Lugo;mié 14; ;;0% ;5;18;;
Monterroso;Lugo;jue 15; ;;5% ;8;17;;
Monterroso;Lugo;vie 16; ;;0% ;7;17;;
Outeiro de Rei;Lugo;sáb 10;18–24 h;12°C;100% ;11;14;;
Outeiro de Rei;Lugo;dom 11;00–06 h;11°C;100% ;5;13;;
Outeiro de Rei;Lugo;dom 11;06–12 h;12°C;100% ;5;13;;
Outeiro de Rei;Lugo;dom 11;12–18 h;10°C;85% ;5;13;;
Outeiro de Rei;Lugo;dom 11;18–24 h;5°C;65% ;5;13;;
Outeiro de Rei;Lugo;dom 11;00–12 h;;55% ;5;13;;
Outeiro de Rei;Lugo;lun 12;12–24 h;;20% ;5;14;;
Outeiro de Rei;Lugo;mar 13;00–12 h;;0% ;4;14;;
Outeiro de Rei;Lugo;mar 13;12–24 h;;0% ;4;14;;
Outeiro de Rei;Lugo;mié 14; ;;0% ;4;18;;
Outeiro de Rei;Lugo;jue 15; ;;15% ;6;19;;
Outeiro de Rei;Lugo;vie 16; ;;0% ;6;18;;
Ribadeo;Lugo;sáb 10;18–24 h;15°C;45% ;14;18;;
Ribadeo;Lugo;dom 11;00–06 h;14°C;95% ;11;17;;
Ribadeo;Lugo;dom 11;06–12 h;16°C;90% ;11;17;;
Ribadeo;Lugo;dom 11;12–18 h;14°C;45% ;11;17;;
Ribadeo;Lugo;dom 11;18–24 h;11°C;60% ;11;17;;
Ribadeo;Lugo;dom 11;00–12 h;;60% ;11;17;;
Ribadeo;Lugo;lun 12;12–24 h;;20% ;8;16;;
Ribadeo;Lugo;mar 13;00–12 h;;0% ;7;16;;
Ribadeo;Lugo;mar 13;12–24 h;;0% ;7;16;;
Ribadeo;Lugo;mié 14; ;;0% ;8;18;;
Ribadeo;Lugo;jue 15; ;;5% ;10;19;;
Ribadeo;Lugo;vie 16; ;;0% ;10;20;;
Sarria;Lugo;sáb 10;18–24 h;11°C;90% ;10;14;;
Sarria;Lugo;dom 11;00–06 h;11°C;100% ;7;14;;
Sarria;Lugo;dom 11;06–12 h;12°C;100% ;7;14;;
Sarria;Lugo;dom 11;12–18 h;10°C;90% ;7;14;;
Sarria;Lugo;dom 11;18–24 h;7°C;95% ;7;14;;
Sarria;Lugo;dom 11;00–12 h;;65% ;7;14;;
Sarria;Lugo;lun 12;12–24 h;;15% ;4;13;;
Sarria;Lugo;mar 13;00–12 h;;0% ;3;15;;
Sarria;Lugo;mar 13;12–24 h;;0% ;3;15;;
Sarria;Lugo;mié 14; ;;0% ;5;19;;
Sarria;Lugo;jue 15; ;;5% ;7;19;;
Sarria;Lugo;vie 16; ;;5% ;6;19;;
Saviñao, O;Lugo;sáb 10;18–24 h;10°C;90% ;9;13;;
Saviñao, O;Lugo;dom 11;00–06 h;10°C;100% ;5;13;;
Saviñao, O;Lugo;dom 11;06–12 h;11°C;100% ;5;13;;
Saviñao, O;Lugo;dom 11;12–18 h;9°C;95% ;5;13;;
Saviñao, O;Lugo;dom 11;18–24 h;5°C;90% ;5;13;;
Saviñao, O;Lugo;dom 11;00–12 h;;55% ;5;13;;
Saviñao, O;Lugo;lun 12;12–24 h;;15% ;4;12;;
Saviñao, O;Lugo;mar 13;00–12 h;;0% ;3;14;;
Saviñao, O;Lugo;mar 13;12–24 h;;0% ;3;14;;
Saviñao, O;Lugo;mié 14; ;;0% ;4;17;;
Saviñao, O;Lugo;jue 15; ;;5% ;7;16;;
Saviñao, O;Lugo;vie 16; ;;5% ;6;16;;
Vilalba;Lugo;sáb 10;18–24 h;12°C;100% ;10;13;;
Vilalba;Lugo;dom 11;00–06 h;11°C;100% ;5;12;;
Vilalba;Lugo;dom 11;06–12 h;11°C;100% ;5;12;;
Vilalba;Lugo;dom 11;12–18 h;10°C;85% ;5;12;;
Vilalba;Lugo;dom 11;18–24 h;5°C;45% ;5;12;;
Vilalba;Lugo;dom 11;00–12 h;;45% ;5;12;;
Vilalba;Lugo;lun 12;12–24 h;;10% ;4;13;;
Vilalba;Lugo;mar 13;00–12 h;;0% ;4;13;;
Vilalba;Lugo;mar 13;12–24 h;;0% ;4;13;;
Vilalba;Lugo;mié 14; ;;0% ;4;17;;
Vilalba;Lugo;jue 15; ;;15% ;7;18;;
Vilalba;Lugo;vie 16; ;;0% ;6;17;;
Viveiro;Lugo;sáb 10;18–24 h;14°C;85% ;12;17;;
Viveiro;Lugo;dom 11;00–06 h;13°C;100% ;9;16;;
Viveiro;Lugo;dom 11;06–12 h;15°C;90% ;9;16;;
Viveiro;Lugo;dom 11;12–18 h;13°C;40% ;9;16;;
Viveiro;Lugo;dom 11;18–24 h;10°C;35% ;9;16;;
Viveiro;Lugo;dom 11;00–12 h;;50% ;9;16;;
Viveiro;Lugo;lun 12;12–24 h;;15% ;8;16;;
Viveiro;Lugo;mar 13;00–12 h;;0% ;6;16;;
Viveiro;Lugo;mar 13;12–24 h;;0% ;6;16;;
Viveiro;Lugo;mié 14; ;;0% ;8;20;;
Viveiro;Lugo;jue 15; ;;5% ;11;21;;
Viveiro;Lugo;vie 16; ;;5% ;10;21;;
Alcalá de Henares;Madrid;sáb 10;18–24 h;12°C;80% ;9;15;;
Alcalá de Henares;Madrid;dom 11;00–06 h;12°C;85% ;11;18;;
Alcalá de Henares;Madrid;dom 11;06–12 h;16°C;80% ;11;18;;
Alcalá de Henares;Madrid;dom 11;12–18 h;16°C;65% ;11;18;;
Alcalá de Henares;Madrid;dom 11;18–24 h;11°C;0% ;11;18;;
Alcalá de Henares;Madrid;dom 11;00–12 h;;70% ;11;18;;
Alcalá de Henares;Madrid;lun 12;12–24 h;;45% ;9;17;;
Alcalá de Henares;Madrid;mar 13;00–12 h;;5% ;7;21;;
Alcalá de Henares;Madrid;mar 13;12–24 h;;0% ;7;21;;
Alcalá de Henares;Madrid;mié 14; ;;20% ;8;19;;
Alcalá de Henares;Madrid;jue 15; ;;75% ;7;18;;
Alcalá de Henares;Madrid;vie 16; ;;25% ;6;19;;
Alcobendas;Madrid;sáb 10;18–24 h;13°C;70% ;9;14;;
Alcobendas;Madrid;dom 11;00–06 h;12°C;85% ;10;16;;
Alcobendas;Madrid;dom 11;06–12 h;14°C;100% ;10;16;;
Alcobendas;Madrid;dom 11;12–18 h;15°C;85% ;10;16;;
Alcobendas;Madrid;dom 11;18–24 h;10°C;15% ;10;16;;
Alcobendas;Madrid;dom 11;00–12 h;;90% ;10;16;;
Alcobendas;Madrid;lun 12;12–24 h;;70% ;9;16;;
Alcobendas;Madrid;mar 13;00–12 h;;5% ;8;20;;
Alcobendas;Madrid;mar 13;12–24 h;;0% ;8;20;;
Alcobendas;Madrid;mié 14; ;;55% ;8;17;;
Alcobendas;Madrid;jue 15; ;;85% ;8;17;;
Alcobendas;Madrid;vie 16; ;;45% ;8;17;;
Alcorcón;Madrid;sáb 10;18–24 h;12°C;70% ;9;14;;
Alcorcón;Madrid;dom 11;00–06 h;12°C;85% ;10;17;;
Alcorcón;Madrid;dom 11;06–12 h;15°C;100% ;10;17;;
Alcorcón;Madrid;dom 11;12–18 h;14°C;100% ;10;17;;
Alcorcón;Madrid;dom 11;18–24 h;10°C;20% ;10;17;;
Alcorcón;Madrid;dom 11;00–12 h;;95% ;10;17;;
Alcorcón;Madrid;lun 12;12–24 h;;80% ;8;15;;
Alcorcón;Madrid;mar 13;00–12 h;;5% ;7;19;;
Alcorcón;Madrid;mar 13;12–24 h;;0% ;7;19;;
Alcorcón;Madrid;mié 14; ;;75% ;8;17;;
Alcorcón;Madrid;jue 15; ;;90% ;8;17;;
Alcorcón;Madrid;vie 16; ;;55% ;8;17;;
Aranjuez;Madrid;sáb 10;18–24 h;13°C;90% ;9;16;;
Aranjuez;Madrid;dom 11;00–06 h;12°C;75% ;11;19;;
Aranjuez;Madrid;dom 11;06–12 h;17°C;55% ;11;19;;
Aranjuez;Madrid;dom 11;12–18 h;15°C;30% ;11;19;;
Aranjuez;Madrid;dom 11;18–24 h;12°C;0% ;11;19;;
Aranjuez;Madrid;dom 11;00–12 h;;75% ;11;19;;
Aranjuez;Madrid;lun 12;12–24 h;;50% ;9;17;;
Aranjuez;Madrid;mar 13;00–12 h;;0% ;6;21;;
Aranjuez;Madrid;mar 13;12–24 h;;0% ;6;21;;
Aranjuez;Madrid;mié 14; ;;25% ;9;20;;
Aranjuez;Madrid;jue 15; ;;60% ;9;18;;
Aranjuez;Madrid;vie 16; ;;30% ;8;19;;
Arganda del Rey;Madrid;sáb 10;18–24 h;12°C;85% ;8;15;;
Arganda del Rey;Madrid;dom 11;00–06 h;11°C;80% ;10;18;;
Arganda del Rey;Madrid;dom 11;06–12 h;16°C;70% ;10;18;;
Arganda del Rey;Madrid;dom 11;12–18 h;15°C;50% ;10;18;;
Arganda del Rey;Madrid;dom 11;18–24 h;11°C;0% ;10;18;;
Arganda del Rey;Madrid;dom 11;00–12 h;;70% ;10;18;;
Arganda del Rey;Madrid;lun 12;12–24 h;;45% ;9;17;;
Arganda del Rey;Madrid;mar 13;00–12 h;;5% ;6;20;;
Arganda del Rey;Madrid;mar 13;12–24 h;;0% ;6;20;;
Arganda del Rey;Madrid;mié 14; ;;30% ;8;19;;
Arganda del Rey;Madrid;jue 15; ;;75% ;8;18;;
Arganda del Rey;Madrid;vie 16; ;;25% ;7;18;;
Collado Villalba;Madrid;sáb 10;18–24 h;11°C;60% ;7;12;;
Collado Villalba;Madrid;dom 11;00–06 h;10°C;90% ;8;13;;
Collado Villalba;Madrid;dom 11;06–12 h;12°C;100% ;8;13;;
Collado Villalba;Madrid;dom 11;12–18 h;12°C;100% ;8;13;;
Collado Villalba;Madrid;dom 11;18–24 h;9°C;75% ;8;13;;
Collado Villalba;Madrid;dom 11;00–12 h;;100% ;8;13;;
Collado Villalba;Madrid;lun 12;12–24 h;;90% ;8;13;;
Collado Villalba;Madrid;mar 13;00–12 h;;5% ;8;18;;
Collado Villalba;Madrid;mar 13;12–24 h;;0% ;8;18;;
Collado Villalba;Madrid;mié 14; ;;90% ;8;15;;
Collado Villalba;Madrid;jue 15; ;;95% ;9;15;;
Collado Villalba;Madrid;vie 16; ;;60% ;7;16;;
Coslada;Madrid;sáb 10;18–24 h;13°C;75% ;9;15;;
Coslada;Madrid;dom 11;00–06 h;12°C;85% ;11;17;;
Coslada;Madrid;dom 11;06–12 h;15°C;85% ;11;17;;
Coslada;Madrid;dom 11;12–18 h;16°C;65% ;11;17;;
Coslada;Madrid;dom 11;18–24 h;11°C;5% ;11;17;;
Coslada;Madrid;dom 11;00–12 h;;80% ;11;17;;
Coslada;Madrid;lun 12;12–24 h;;55% ;9;16;;
Coslada;Madrid;mar 13;00–12 h;;5% ;7;20;;
Coslada;Madrid;mar 13;12–24 h;;0% ;7;20;;
Coslada;Madrid;mié 14; ;;40% ;8;18;;
Coslada;Madrid;jue 15; ;;85% ;8;18;;
Coslada;Madrid;vie 16; ;;30% ;7;18;;
Fuenlabrada;Madrid;sáb 10;18–24 h;12°C;65% ;9;14;;
Fuenlabrada;Madrid;dom 11;00–06 h;12°C;80% ;10;17;;
Fuenlabrada;Madrid;dom 11;06–12 h;16°C;85% ;10;17;;
Fuenlabrada;Madrid;dom 11;12–18 h;14°C;60% ;10;17;;
Fuenlabrada;Madrid;dom 11;18–24 h;10°C;0% ;10;17;;
Fuenlabrada;Madrid;dom 11;00–12 h;;85% ;10;17;;
Fuenlabrada;Madrid;lun 12;12–24 h;;65% ;8;15;;
Fuenlabrada;Madrid;mar 13;00–12 h;;5% ;7;19;;
Fuenlabrada;Madrid;mar 13;12–24 h;;0% ;7;19;;
Fuenlabrada;Madrid;mié 14; ;;30% ;8;18;;
Fuenlabrada;Madrid;jue 15; ;;75% ;8;17;;
Fuenlabrada;Madrid;vie 16; ;;35% ;8;17;;
Getafe;Madrid;sáb 10;18–24 h;13°C;70% ;10;14;;
Getafe;Madrid;dom 11;00–06 h;12°C;80% ;10;17;;
Getafe;Madrid;dom 11;06–12 h;16°C;100% ;10;17;;
Getafe;Madrid;dom 11;12–18 h;15°C;80% ;10;17;;
Getafe;Madrid;dom 11;18–24 h;11°C;5% ;10;17;;
Getafe;Madrid;dom 11;00–12 h;;85% ;10;17;;
Getafe;Madrid;lun 12;12–24 h;;70% ;9;15;;
Getafe;Madrid;mar 13;00–12 h;;5% ;7;20;;
Getafe;Madrid;mar 13;12–24 h;;0% ;7;20;;
Getafe;Madrid;mié 14; ;;50% ;8;18;;
Getafe;Madrid;jue 15; ;;85% ;8;17;;
Getafe;Madrid;vie 16; ;;40% ;8;17;;
Leganés;Madrid;sáb 10;18–24 h;12°C;70% ;9;14;;
Leganés;Madrid;dom 11;00–06 h;12°C;80% ;10;17;;
Leganés;Madrid;dom 11;06–12 h;16°C;95% ;10;17;;
Leganés;Madrid;dom 11;12–18 h;14°C;75% ;10;17;;
Leganés;Madrid;dom 11;18–24 h;10°C;5% ;10;17;;
Leganés;Madrid;dom 11;00–12 h;;90% ;10;17;;
Leganés;Madrid;lun 12;12–24 h;;70% ;8;15;;
Leganés;Madrid;mar 13;00–12 h;;5% ;7;19;;
Leganés;Madrid;mar 13;12–24 h;;0% ;7;19;;
Leganés;Madrid;mié 14; ;;45% ;8;18;;
Leganés;Madrid;jue 15; ;;80% ;8;17;;
Leganés;Madrid;vie 16; ;;35% ;8;17;;
Madrid;Madrid;sáb 10;18–24 h;13°C;70% ;10;14;;
Madrid;Madrid;dom 11;00–06 h;12°C;80% ;11;17;;
Madrid;Madrid;dom 11;06–12 h;15°C;95% ;11;17;;
Madrid;Madrid;dom 11;12–18 h;15°C;80% ;11;17;;
Madrid;Madrid;dom 11;18–24 h;11°C;5% ;11;17;;
Madrid;Madrid;dom 11;00–12 h;;85% ;11;17;;
Madrid;Madrid;lun 12;12–24 h;;65% ;9;15;;
Madrid;Madrid;mar 13;00–12 h;;5% ;8;19;;
Madrid;Madrid;mar 13;12–24 h;;0% ;8;19;;
Madrid;Madrid;mié 14; ;;50% ;9;17;;
Madrid;Madrid;jue 15; ;;85% ;9;17;;
Madrid;Madrid;vie 16; ;;35% ;9;17;;
Majadahonda;Madrid;sáb 10;18–24 h;12°C;65% ;8;13;;
Majadahonda;Madrid;dom 11;00–06 h;12°C;85% ;9;16;;
Majadahonda;Madrid;dom 11;06–12 h;14°C;100% ;9;16;;
Majadahonda;Madrid;dom 11;12–18 h;14°C;100% ;9;16;;
Majadahonda;Madrid;dom 11;18–24 h;9°C;25% ;9;16;;
Majadahonda;Madrid;dom 11;00–12 h;;95% ;9;16;;
Majadahonda;Madrid;lun 12;12–24 h;;75% ;7;15;;
Majadahonda;Madrid;mar 13;00–12 h;;5% ;7;19;;
Majadahonda;Madrid;mar 13;12–24 h;;0% ;7;19;;
Majadahonda;Madrid;mié 14; ;;80% ;8;17;;
Majadahonda;Madrid;jue 15; ;;90% ;8;17;;
Majadahonda;Madrid;vie 16; ;;55% ;8;17;;
Móstoles;Madrid;sáb 10;18–24 h;12°C;70% ;9;14;;
Móstoles;Madrid;dom 11;00–06 h;12°C;85% ;10;17;;
Móstoles;Madrid;dom 11;06–12 h;16°C;100% ;10;17;;
Móstoles;Madrid;dom 11;12–18 h;14°C;95% ;10;17;;
Móstoles;Madrid;dom 11;18–24 h;10°C;15% ;10;17;;
Móstoles;Madrid;dom 11;00–12 h;;95% ;10;17;;
Móstoles;Madrid;lun 12;12–24 h;;75% ;8;15;;
Móstoles;Madrid;mar 13;00–12 h;;5% ;7;19;;
Móstoles;Madrid;mar 13;12–24 h;;0% ;7;19;;
Móstoles;Madrid;mié 14; ;;70% ;8;18;;
Móstoles;Madrid;jue 15; ;;90% ;9;17;;
Móstoles;Madrid;vie 16; ;;50% ;8;17;;
Parla;Madrid;sáb 10;18–24 h;12°C;65% ;9;14;;
Parla;Madrid;dom 11;00–06 h;12°C;80% ;10;18;;
Parla;Madrid;dom 11;06–12 h;16°C;80% ;10;18;;
Parla;Madrid;dom 11;12–18 h;14°C;55% ;10;18;;
Parla;Madrid;dom 11;18–24 h;10°C;0% ;10;18;;
Parla;Madrid;dom 11;00–12 h;;85% ;10;18;;
Parla;Madrid;lun 12;12–24 h;;55% ;8;15;;
Parla;Madrid;mar 13;00–12 h;;5% ;7;19;;
Parla;Madrid;mar 13;12–24 h;;0% ;7;19;;
Parla;Madrid;mié 14; ;;25% ;8;18;;
Parla;Madrid;jue 15; ;;75% ;8;17;;
Parla;Madrid;vie 16; ;;30% ;8;17;;
Pozuelo de Alarcón;Madrid;sáb 10;18–24 h;12°C;70% ;9;14;;
Pozuelo de Alarcón;Madrid;dom 11;00–06 h;12°C;85% ;9;17;;
Pozuelo de Alarcón;Madrid;dom 11;06–12 h;15°C;100% ;9;17;;
Pozuelo de Alarcón;Madrid;dom 11;12–18 h;14°C;90% ;9;17;;
Pozuelo de Alarcón;Madrid;dom 11;18–24 h;9°C;15% ;9;17;;
Pozuelo de Alarcón;Madrid;dom 11;00–12 h;;90% ;9;17;;
Pozuelo de Alarcón;Madrid;lun 12;12–24 h;;75% ;7;15;;
Pozuelo de Alarcón;Madrid;mar 13;00–12 h;;5% ;7;20;;
Pozuelo de Alarcón;Madrid;mar 13;12–24 h;;0% ;7;20;;
Pozuelo de Alarcón;Madrid;mié 14; ;;65% ;7;18;;
Pozuelo de Alarcón;Madrid;jue 15; ;;90% ;8;18;;
Pozuelo de Alarcón;Madrid;vie 16; ;;45% ;7;18;;
Rivas-Vaciamadrid;Madrid;sáb 10;18–24 h;12°C;80% ;9;16;;
Rivas-Vaciamadrid;Madrid;dom 11;00–06 h;12°C;80% ;11;19;;
Rivas-Vaciamadrid;Madrid;dom 11;06–12 h;17°C;70% ;11;19;;
Rivas-Vaciamadrid;Madrid;dom 11;12–18 h;16°C;55% ;11;19;;
Rivas-Vaciamadrid;Madrid;dom 11;18–24 h;11°C;0% ;11;19;;
Rivas-Vaciamadrid;Madrid;dom 11;00–12 h;;70% ;11;19;;
Rivas-Vaciamadrid;Madrid;lun 12;12–24 h;;45% ;9;17;;
Rivas-Vaciamadrid;Madrid;mar 13;00–12 h;;5% ;6;21;;
Rivas-Vaciamadrid;Madrid;mar 13;12–24 h;;0% ;6;21;;
Rivas-Vaciamadrid;Madrid;mié 14; ;;30% ;8;20;;
Rivas-Vaciamadrid;Madrid;jue 15; ;;70% ;8;19;;
Rivas-Vaciamadrid;Madrid;vie 16; ;;25% ;7;19;;
Rozas de Madrid, Las;Madrid;sáb 10;18–24 h;12°C;65% ;9;13;;
Rozas de Madrid, Las;Madrid;dom 11;00–06 h;12°C;90% ;9;16;;
Rozas de Madrid, Las;Madrid;dom 11;06–12 h;14°C;100% ;9;16;;
Rozas de Madrid, Las;Madrid;dom 11;12–18 h;14°C;100% ;9;16;;
Rozas de Madrid, Las;Madrid;dom 11;18–24 h;9°C;30% ;9;16;;
Rozas de Madrid, Las;Madrid;dom 11;00–12 h;;95% ;9;16;;
Rozas de Madrid, Las;Madrid;lun 12;12–24 h;;85% ;7;15;;
Rozas de Madrid, Las;Madrid;mar 13;00–12 h;;5% ;7;19;;
Rozas de Madrid, Las;Madrid;mar 13;12–24 h;;0% ;7;19;;
Rozas de Madrid, Las;Madrid;mié 14; ;;85% ;8;17;;
Rozas de Madrid, Las;Madrid;jue 15; ;;95% ;9;17;;
Rozas de Madrid, Las;Madrid;vie 16; ;;55% ;8;17;;
San Sebastián de los Reyes;Madrid;sáb 10;18–24 h;13°C;70% ;9;14;;
San Sebastián de los Reyes;Madrid;dom 11;00–06 h;12°C;85% ;10;16;;
San Sebastián de los Reyes;Madrid;dom 11;06–12 h;14°C;100% ;10;16;;
San Sebastián de los Reyes;Madrid;dom 11;12–18 h;15°C;85% ;10;16;;
San Sebastián de los Reyes;Madrid;dom 11;18–24 h;10°C;15% ;10;16;;
San Sebastián de los Reyes;Madrid;dom 11;00–12 h;;90% ;10;16;;
San Sebastián de los Reyes;Madrid;lun 12;12–24 h;;70% ;9;16;;
San Sebastián de los Reyes;Madrid;mar 13;00–12 h;;5% ;8;20;;
San Sebastián de los Reyes;Madrid;mar 13;12–24 h;;0% ;8;20;;
San Sebastián de los Reyes;Madrid;mié 14; ;;55% ;8;17;;
San Sebastián de los Reyes;Madrid;jue 15; ;;85% ;8;17;;
San Sebastián de los Reyes;Madrid;vie 16; ;;45% ;8;17;;
Torrejón de Ardoz;Madrid;sáb 10;18–24 h;13°C;70% ;9;15;;
Torrejón de Ardoz;Madrid;dom 11;00–06 h;12°C;80% ;11;18;;
Torrejón de Ardoz;Madrid;dom 11;06–12 h;16°C;85% ;11;18;;
Torrejón de Ardoz;Madrid;dom 11;12–18 h;16°C;60% ;11;18;;
Torrejón de Ardoz;Madrid;dom 11;18–24 h;11°C;5% ;11;18;;
Torrejón de Ardoz;Madrid;dom 11;00–12 h;;75% ;11;18;;
Torrejón de Ardoz;Madrid;lun 12;12–24 h;;50% ;9;17;;
Torrejón de Ardoz;Madrid;mar 13;00–12 h;;5% ;7;21;;
Torrejón de Ardoz;Madrid;mar 13;12–24 h;;0% ;7;21;;
Torrejón de Ardoz;Madrid;mié 14; ;;25% ;8;19;;
Torrejón de Ardoz;Madrid;jue 15; ;;80% ;8;18;;
Torrejón de Ardoz;Madrid;vie 16; ;;30% ;7;18;;
Valdemoro;Madrid;sáb 10;18–24 h;12°C;80% ;9;15;;
Valdemoro;Madrid;dom 11;00–06 h;12°C;85% ;10;18;;
Valdemoro;Madrid;dom 11;06–12 h;16°C;75% ;10;18;;
Valdemoro;Madrid;dom 11;12–18 h;15°C;40% ;10;18;;
Valdemoro;Madrid;dom 11;18–24 h;11°C;0% ;10;18;;
Valdemoro;Madrid;dom 11;00–12 h;;80% ;10;18;;
Valdemoro;Madrid;lun 12;12–24 h;;55% ;8;16;;
Valdemoro;Madrid;mar 13;00–12 h;;5% ;6;20;;
Valdemoro;Madrid;mar 13;12–24 h;;0% ;6;20;;
